County,Year,Population
Herkimer,2019,"60,509"
Herkimer,2020,"60,043"
Herkimer,2021,"60,036"
Herkimer,2022,"59,581"
Herkimer,2023,"59,551"
Herkimer,2024,"59,368"
Jefferson,1990,"111,549"
Jefferson,1991,"112,911"
Jefferson,1992,"114,463"
Jefferson,1993,"114,874"
Jefferson,1994,"116,932"
Jefferson,1995,"115,361"
Jefferson,1996,"114,585"
Jefferson,1997,"113,055"
Jefferson,1998,"112,546"
Jefferson,1999,"112,081"
Jefferson,2000,"111,790"
Jefferson,2001,"111,422"
Jefferson,2002,"111,112"
Jefferson,2003,"110,246"
Jefferson,2004,"109,924"
Jefferson,2005,"113,486"
Jefferson,2006,"113,650"
Jefferson,2007,"115,059"
Jefferson,2008,"115,033"
Jefferson,2009,"115,023"
Jefferson,2010,"116,810"
Jefferson,2011,"118,816"
Jefferson,2012,"122,150"
Jefferson,2013,"121,238"
Jefferson,2014,"121,548"
Jefferson,2015,"120,772"
Jefferson,2016,"118,321"
Jefferson,2017,"119,335"
Jefferson,2018,"118,919"
Jefferson,2019,"117,602"
Jefferson,2020,"116,075"
Jefferson,2021,"117,019"
Jefferson,2022,"115,493"
Jefferson,2023,"113,280"
Jefferson,2024,"112,795"
Kings,1990,"2,303,679"
Kings,1991,"2,312,518"
Kings,1992,"2,327,759"
Kings,1993,"2,347,687"
Kings,1994,"2,361,668"
Kings,1995,"2,372,611"
Kings,1996,"2,383,703"
Kings,1997,"2,401,148"
Kings,1998,"2,422,434"
Kings,1999,"2,447,352"
Kings,2000,"2,467,006"
Kings,2001,"2,477,252"
Kings,2002,"2,480,559"
Kings,2003,"2,472,999"
Kings,2004,"2,459,094"
Kings,2005,"2,445,809"
Kings,2006,"2,436,132"
Kings,2007,"2,441,324"
Kings,2008,"2,460,361"
Kings,2009,"2,487,751"
Kings,2010,"2,514,665"
Kings,2011,"2,564,525"
Kings,2012,"2,611,093"
Kings,2013,"2,649,210"
Kings,2014,"2,681,874"
Kings,2015,"2,708,040"
Kings,2016,"2,726,337"
Kings,2017,"2,731,444"
Kings,2018,"2,736,071"
Kings,2019,"2,737,209"
